_id,CW_HSCODE,url_for_verify,foreign_id,mark,COUNTRY,UNIT1,UNIT2,QUANTITY1_CURRENT_MONTH,QUANTITY2_CURRENT_MONTH,VALUE_CURRENT_MONTH,QUANTITY1_CUMULATIVE_YEAR_TO_DATE,QUANTITY2_CUMULATIVE_YEAR_TO_DATE,VALUE_CUMULATIVE_YEAR_TO_DATE,idx_start,idx_end,page_start,page_end,idx_total
670d21ea631a82b8a8a308ae,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,238 UKRAINE, ,KG, ,110,1736, ,110,1736,1,51,1,1,51
670d21ea631a82b8a8a308af,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,304 USA, ,KG, ,268,825, ,268,825,1,51,1,1,51
670d21ea631a82b8a8a308b0,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,601 AUSTRAL, ,KG, ,396,2828, ,396,2828,1,51,1,1,51
670d21ea631a82b8a8a308b1,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,(0902.10-900  )TOTAL, ,KG, ,6491,27758, ,6491,27758,1,51,1,1,51
670d21ea631a82b8a8a308b2,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,108 HG KONG, ,KG, ,108,814, ,108,814,1,51,1,1,51
670d21ea631a82b8a8a308b3,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,112 SNGAPOR, ,KG, ,320,341, ,320,341,1,51,1,1,51
670d21ea631a82b8a8a308b4,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,113 MALYSIA, ,KG, ,342,757, ,342,757,1,51,1,1,51
670d21ea631a82b8a8a308b5,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,118 INDNSIA, ,KG, ,76,347, ,76,347,1,51,1,1,51
670d21ea631a82b8a8a308b6,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,147 U ARB E, ,KG, ,47,443, ,47,443,1,51,1,1,51
670d21ea631a82b8a8a308b7,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,205 U KING, ,KG, ,1402,12635, ,1402,12635,1,51,1,1,51
670d21ea631a82b8a8a308b8,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,210 FRANCE, ,KG, ,116,1204, ,116,1204,1,51,1,1,51
670d21ea631a82b8a8a308b9,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,213 GERMANY, ,KG, ,250,1288, ,250,1288,1,51,1,1,51
670d21ea631a82b8a8a308ba,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,302 CANADA, ,KG, ,540,2332, ,540,2332,1,51,1,1,51
670d21ea631a82b8a8a308bb,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,304 USA, ,KG, ,2421,3686, ,2421,3686,1,51,1,1,51
670d21ea631a82b8a8a308bc,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,601 AUSTRAL, ,KG, ,869,3911, ,869,3911,1,51,1,1,51
